year,quarter,state,district,registeredusers,appopens
2023,Q1,West Bengal,Uttar Dinajpur,604337,18402983
2023,Q1,West Bengal,Kalimpong,55972,7440098
2023,Q1,West Bengal,Murshidabad,1868610,15071851
2023,Q1,West Bengal,Paschim Medinipur,1274166,21510664
2023,Q1,West Bengal,Dakshin Dinajpur,429466,7605293
2023,Q1,West Bengal,Jalpaiguri,392646,18371583
2023,Q1,West Bengal,Purulia,652528,25640046
2023,Q1,West Bengal,North Twenty Four Parganas,3926974,17361233
2023,Q1,West Bengal,Bankura,957561,22629162
2023,Q1,West Bengal,Jhargram,184460,11363522
2023,Q1,West Bengal,Howrah,1488195,3583925
2023,Q1,West Bengal,Hooghly,1651210,7508082
2023,Q1,West Bengal,Kolkata,2838411,7291282
2023,Q1,West Bengal,Koch Bihar,564029,19175942
2023,Q1,West Bengal,Alipurduar,272997,12835964
2023,Q1,West Bengal,Paschim Bardhaman,1165703,9386585
2023,Q1,West Bengal,Nadia,1423179,9249475
2023,Q1,West Bengal,Birbhum,896009,14218972
2023,Q1,West Bengal,Purba Medinipur,1409101,11139071
2023,Q1,West Bengal,Maldah,1002068,15639770
2023,Q1,West Bengal,Darjiling,589990,11404341
2023,Q3,West Bengal,South Twenty Four Parganas,2074469,36106296
2023,Q3,West Bengal,Purba Bardhaman,1272153,13425281
2023,Q3,West Bengal,Uttar Dinajpur,659711,30979165
2023,Q3,West Bengal,Kalimpong,60803,12163745
2023,Q3,West Bengal,Murshidabad,2023550,22637926
2023,Q3,West Bengal,Paschim Medinipur,1384076,27253598
2023,Q3,West Bengal,Dakshin Dinajpur,468842,11036806
2023,Q3,West Bengal,Jalpaiguri,427529,27526284
2023,Q3,West Bengal,Purulia,711605,40151644
2023,Q3,West Bengal,North Twenty Four Parganas,4241525,15161063
2023,Q3,West Bengal,Bankura,1040840,30550117
2023,Q3,West Bengal,Jhargram,200795,15380154
2023,Q3,West Bengal,Howrah,1608895,7720866
2023,Q3,West Bengal,Hooghly,1787671,6860509
2023,Q3,West Bengal,Kolkata,3053050,6895145
2023,Q3,West Bengal,Koch Bihar,614856,35359585
2023,Q3,West Bengal,Alipurduar,297043,20820021
2023,Q3,West Bengal,Paschim Bardhaman,1260756,13439780
2023,Q3,West Bengal,Nadia,1544294,12674328
2023,Q3,West Bengal,Birbhum,974363,18961683
2023,Q3,West Bengal,Purba Medinipur,1530289,18593769
2023,Q3,West Bengal,Maldah,1091634,28020285
2023,Q3,West Bengal,Darjiling,637665,21732323
2021,Q3,West Bengal,South Twenty Four Parganas,1383020,23765288
2021,Q3,West Bengal,Purba Bardhaman,847622,15020358
2021,Q3,West Bengal,Uttar Dinajpur,425320,10453927
2021,Q3,West Bengal,Kalimpong,40581,1787640
2021,Q3,West Bengal,Murshidabad,1342984,21103271
2021,Q3,West Bengal,Paschim Medinipur,922218,20226812
2021,Q3,West Bengal,Dakshin Dinajpur,304201,4804545
2021,Q3,West Bengal,Jalpaiguri,280624,7690594
2021,Q3,West Bengal,Purulia,469472,11407463
2021,Q3,West Bengal,North Twenty Four Parganas,2852030,47835815
2021,Q3,West Bengal,Bankura,695804,14483541
2021,Q3,West Bengal,Jhargram,133927,4306987
2021,Q3,West Bengal,Howrah,1077467,15417318
2021,Q3,West Bengal,Hooghly,1198858,18451061
2021,Q3,West Bengal,Kolkata,2078360,32297893
2021,Q3,West Bengal,Koch Bihar,401546,9466032
2021,Q3,West Bengal,Alipurduar,195128,5854359
2021,Q3,West Bengal,Paschim Bardhaman,845830,13640640
2021,Q3,West Bengal,Nadia,1026795,16684700
2021,Q3,West Bengal,Birbhum,644407,10749052
2021,Q3,West Bengal,Purba Medinipur,1017925,18619093
2021,Q3,West Bengal,Maldah,710699,15940220
2021,Q3,West Bengal,Darjiling,428460,8582057
2021,Q2,West Bengal,South Twenty Four Parganas,1286588,19344293
2021,Q2,West Bengal,Purba Bardhaman,787970,12128849
2021,Q2,West Bengal,Uttar Dinajpur,392388,8184990
2021,Q2,West Bengal,Kalimpong,37523,1223459
2021,Q2,West Bengal,Murshidabad,1248602,16530655
2021,Q2,West Bengal,Paschim Medinipur,856640,16201033
2021,Q2,West Bengal,Dakshin Dinajpur,281433,3959456
2021,Q2,West Bengal,Jalpaiguri,259321,5783835
2021,Q2,West Bengal,Purulia,435131,8843358
2021,Q2,West Bengal,North Twenty Four Parganas,2660664,37899453
2021,Q2,West Bengal,Bankura,646486,11202278
2021,Q2,West Bengal,Jhargram,124122,3321057
2021,Q2,West Bengal,Howrah,1004570,12452653
2021,Q2,West Bengal,Hooghly,1117731,15432239
2021,Q2,West Bengal,Kolkata,1944113,23924834
2021,Q2,West Bengal,Koch Bihar,370813,7542282
2021,Q2,West Bengal,Alipurduar,180350,4356938
2021,Q2,West Bengal,Paschim Bardhaman,789026,10545670
2021,Q2,West Bengal,Nadia,955428,13665885
2021,Q2,West Bengal,Birbhum,597952,8372476
2021,Q2,West Bengal,Purba Medinipur,946277,15491958
2021,Q2,West Bengal,Maldah,658282,12664071
2021,Q2,West Bengal,Darjiling,398569,6269744
2021,Q4,West Bengal,South Twenty Four Parganas,1477679,33158928
2021,Q4,West Bengal,Purba Bardhaman,905950,20699909
2021,Q4,West Bengal,Uttar Dinajpur,457144,14085762
2021,Q4,West Bengal,Kalimpong,43545,1088538
2021,Q4,West Bengal,Murshidabad,1435266,31219092
2021,Q4,West Bengal,Paschim Medinipur,985745,25743693
2021,Q4,West Bengal,Dakshin Dinajpur,326436,5709265
