year,quarter,state,district,registeredusers
2022,Q2,Uttarakhand,Udham Singh Nagar,683908
2022,Q2,Uttarakhand,Nainital,370360
2022,Q2,Uttarakhand,Pauri Garhwal,187078
2022,Q2,Uttarakhand,Tehri Garhwal,144049
2022,Q2,Uttarakhand,Almora,123856
2022,Q2,Uttarakhand,Pithoragarh,102347
2022,Q2,Uttarakhand,Chamoli,88939
2022,Q2,Uttarakhand,Uttarkashi,71641
2021,Q3,Uttarakhand,Dehradun,963594
2021,Q3,Uttarakhand,Haridwar,669249
2021,Q3,Uttarakhand,Udham Singh Nagar,568881
2021,Q3,Uttarakhand,Nainital,309820
2021,Q3,Uttarakhand,Pauri Garhwal,155054
2021,Q3,Uttarakhand,Tehri Garhwal,119032
2021,Q3,Uttarakhand,Almora,102118
2021,Q3,Uttarakhand,Pithoragarh,84476
2021,Q3,Uttarakhand,Chamoli,73432
2021,Q3,Uttarakhand,Uttarkashi,59174
2021,Q2,Uttarakhand,Dehradun,898504
2021,Q2,Uttarakhand,Haridwar,622292
2021,Q2,Uttarakhand,Udham Singh Nagar,528392
2021,Q2,Uttarakhand,Nainital,288162
2021,Q2,Uttarakhand,Pauri Garhwal,143460
2021,Q2,Uttarakhand,Tehri Garhwal,109890
2021,Q2,Uttarakhand,Almora,94196
2021,Q2,Uttarakhand,Pithoragarh,78079
2021,Q2,Uttarakhand,Chamoli,67712
2021,Q2,Uttarakhand,Uttarkashi,54582
2021,Q4,Uttarakhand,Dehradun,1028085
2021,Q4,Uttarakhand,Haridwar,716044
2021,Q4,Uttarakhand,Udham Singh Nagar,609138
2021,Q4,Uttarakhand,Nainital,330999
2021,Q4,Uttarakhand,Pauri Garhwal,166482
2021,Q4,Uttarakhand,Tehri Garhwal,127893
2021,Q4,Uttarakhand,Almora,109803
2021,Q4,Uttarakhand,Pithoragarh,90791
2021,Q4,Uttarakhand,Chamoli,78848
2021,Q4,Uttarakhand,Uttarkashi,63536
2021,Q1,Uttarakhand,Dehradun,840361
2021,Q1,Uttarakhand,Haridwar,580532
2021,Q1,Uttarakhand,Udham Singh Nagar,492646
2021,Q1,Uttarakhand,Nainital,269308
2021,Q1,Uttarakhand,Pauri Garhwal,133484
2021,Q1,Uttarakhand,Tehri Garhwal,102085
2021,Q1,Uttarakhand,Almora,87354
2021,Q1,Uttarakhand,Pithoragarh,72579
2021,Q1,Uttarakhand,Chamoli,62779
2021,Q1,Uttarakhand,Uttarkashi,50696
2020,Q4,Uttarakhand,Dehradun,779564
2020,Q4,Uttarakhand,Haridwar,537058
2020,Q4,Uttarakhand,Udham Singh Nagar,456356
2020,Q4,Uttarakhand,Nainital,249856
2020,Q4,Uttarakhand,Pauri Garhwal,123892
2020,Q4,Uttarakhand,Tehri Garhwal,94520
2020,Q4,Uttarakhand,Almora,81020
2020,Q4,Uttarakhand,Pithoragarh,67024
