year,quarter,state,district,count,amount
2021,Q1,Uttar Pradesh,Balrampur,100,87229.0
2021,Q1,Uttar Pradesh,Amroha,169,199135.0
2021,Q1,Uttar Pradesh,Pilibhit,61,44437.0
2021,Q1,Uttar Pradesh,Mainpuri,161,101086.0
2021,Q1,Uttar Pradesh,Kanpur Dehat,109,58523.0
2021,Q1,Uttar Pradesh,Jaunpur,327,254538.0
2021,Q1,Uttar Pradesh,Kaushambi,52,40601.0
2021,Q1,Uttar Pradesh,Hapur,282,304199.0
2021,Q1,Uttar Pradesh,Hamirpur,66,50437.0
2021,Q1,Uttar Pradesh,Meerut,799,753509.0
2021,Q1,Uttar Pradesh,Mathura,426,257241.0
2021,Q1,Uttar Pradesh,Chitrakoot,63,46461.0
2021,Q1,Uttar Pradesh,Lalitpur,81,33678.0
2021,Q1,Uttar Pradesh,Mau,142,148115.0
2021,Q1,Uttar Pradesh,Mirzapur,153,99406.0
2021,Q1,Uttar Pradesh,Bulandshahr,404,403287.0
2021,Q1,Uttar Pradesh,Gonda,162,106578.0
2021,Q1,Uttar Pradesh,Jhansi,312,200396.0
2021,Q1,Uttar Pradesh,Chandauli,145,72371.0
2021,Q1,Uttar Pradesh,Bhadohi,144,88681.0
2021,Q1,Uttar Pradesh,Pratapgarh,219,193210.0
2021,Q1,Uttar Pradesh,Saharanpur,461,411120.0
2021,Q1,Uttar Pradesh,Bara Banki,133,106844.0
2021,Q1,Uttar Pradesh,Bareilly,408,328455.0
2021,Q1,Uttar Pradesh,Sitapur,137,99309.0
2021,Q1,Uttar Pradesh,Sultanpur,212,173606.0
2021,Q1,Uttar Pradesh,Agra,623,394070.0
2021,Q1,Uttar Pradesh,Fatehpur,103,71630.0
2021,Q1,Uttar Pradesh,Rae Bareli,158,147128.0
2021,Q1,Uttar Pradesh,Firozabad,183,102903.0
2021,Q1,Uttar Pradesh,Kheri,144,109166.0
2021,Q1,Uttar Pradesh,Gorakhpur,665,538572.0
2021,Q1,Uttar Pradesh,Unnao,153,114646.0
2021,Q1,Uttar Pradesh,Prayagraj,942,675067.0
2021,Q1,Uttar Pradesh,Sonbhadra,252,186756.0
2021,Q1,Uttar Pradesh,Ghazipur,333,271399.0
2021,Q1,Uttar Pradesh,Farrukhabad,115,67014.0
2021,Q1,Uttar Pradesh,Kannauj,88,67657.0
2021,Q1,Uttar Pradesh,Azamgarh,286,247198.0
